ApplicableAt,ApplicableFor,Value,GeneratedTimeStamp,QualityIndicator,Substituted,CreatedDate,LDZ
2022-01-02 11:38:00+00:00,2022-01-01 00:00:00+00:00,9.01,2022-01-02 11:50:00+00:00, ,N,2022-01-02 11:48:09+00:00,EA
2022-01-03 11:38:00+00:00,2022-01-02 00:00:00+00:00,3.91,2022-01-03 11:50:00+00:00, ,N,2022-01-03 11:48:09+00:00,EA
2022-01-04 11:38:00+00:00,2022-01-03 00:00:00+00:00,6.54,2022-01-04 11:50:00+00:00, ,N,2022-01-04 11:48:15+00:00,EA
2022-01-05 11:38:00+00:00,2022-01-04 00:00:00+00:00,6.0,2022-01-05 11:50:00+00:00, ,N,2022-01-05 11:48:09+00:00,EA
2022-01-06 11:38:00+00:00,2022-01-05 00:00:00+00:00,15.09,2022-01-06 11:50:00+00:00, ,N,2022-01-06 11:48:09+00:00,EA
2022-01-07 11:38:00+00:00,2022-01-06 00:00:00+00:00,4.73,2022-01-07 11:50:00+00:00, ,N,2022-01-07 11:48:13+00:00,EA
2022-01-08 11:38:00+00:00,2022-01-07 00:00:00+00:00,8.65,2022-01-08 11:50:00+00:00, ,N,2022-01-08 11:48:10+00:00,EA
2022-01-09 11:38:00+00:00,2022-01-08 00:00:00+00:00,5.96,2022-01-09 11:50:00+00:00, ,N,2022-01-09 11:48:29+00:00,EA
2022-01-10 11:38:00+00:00,2022-01-09 00:00:00+00:00,11.03,2022-01-10 11:50:00+00:00, ,N,2022-01-10 11:48:31+00:00,EA
2022-01-11 11:38:00+00:00,2022-01-10 00:00:00+00:00,3.14,2022-01-11 11:50:00+00:00, ,N,2022-01-11 11:48:09+00:00,EA
2022-01-12 11:38:00+00:00,2022-01-11 00:00:00+00:00,12.26,2022-01-12 11:50:00+00:00, ,N,2022-01-12 11:48:09+00:00,EA
2022-01-13 11:38:00+00:00,2022-01-12 00:00:00+00:00,7.03,2022-01-13 11:50:00+00:00, ,N,2022-01-13 11:48:09+00:00,EA
2022-01-14 11:38:00+00:00,2022-01-13 00:00:00+00:00,11.62,2022-01-14 11:50:00+00:00, ,N,2022-01-14 11:48:09+00:00,EA
2022-01-15 11:38:00+00:00,2022-01-14 00:00:00+00:00,6.24,2022-01-15 11:50:00+00:00, ,N,2022-01-15 11:48:09+00:00,EA
2022-01-16 11:38:00+00:00,2022-01-15 00:00:00+00:00,7.13,2022-01-16 11:50:00+00:00, ,N,2022-01-16 11:48:09+00:00,EA
2022-01-17 11:38:00+00:00,2022-01-16 00:00:00+00:00,4.16,2022-01-17 11:50:00+00:00, ,N,2022-01-17 11:48:09+00:00,EA
2022-01-18 11:38:00+00:00,2022-01-17 00:00:00+00:00,9.14,2022-01-18 11:50:00+00:00, ,N,2022-01-18 11:48:10+00:00,EA
2022-01-19 11:38:00+00:00,2022-01-18 00:00:00+00:00,9.35,2022-01-19 11:50:00+00:00, ,N,2022-01-19 11:48:09+00:00,EA
2022-01-20 11:38:00+00:00,2022-01-19 00:00:00+00:00,7.74,2022-01-20 11:50:00+00:00, ,N,2022-01-20 11:48:09+00:00,EA
2022-01-21 11:38:00+00:00,2022-01-20 00:00:00+00:00,8.91,2022-01-21 11:50:00+00:00, ,N,2022-01-21 11:48:10+00:00,EA
2022-01-22 11:38:00+00:00,2022-01-21 00:00:00+00:00,5.24,2022-01-22 11:50:00+00:00, ,N,2022-01-22 11:48:10+00:00,EA
2022-01-23 11:38:00+00:00,2022-01-22 00:00:00+00:00,16.13,2022-01-23 11:50:00+00:00, ,N,2022-01-23 11:48:09+00:00,EA
2022-01-24 11:38:00+00:00,2022-01-23 00:00:00+00:00,11.11,2022-01-24 11:50:00+00:00, ,N,2022-01-24 11:48:09+00:00,EA
2022-01-25 11:38:00+00:00,2022-01-24 00:00:00+00:00,7.89,2022-01-25 11:50:00+00:00, ,N,2022-01-25 11:48:09+00:00,EA
2022-01-26 11:38:00+00:00,2022-01-25 00:00:00+00:00,10.36,2022-01-26 11:50:00+00:00, ,N,2022-01-26 11:48:10+00:00,EA
2022-01-27 11:38:00+00:00,2022-01-26 00:00:00+00:00,15.7,2022-01-27 11:50:00+00:00, ,N,2022-01-27 11:48:09+00:00,EA
2022-01-28 11:38:00+00:00,2022-01-27 00:00:00+00:00,-0.55,2022-01-28 11:50:00+00:00, ,N,2022-01-28 11:48:10+00:00,EA
2022-01-29 11:38:00+00:00,2022-01-28 00:00:00+00:00,11.39,2022-01-29 11:50:00+00:00, ,N,2022-01-29 11:48:09+00:00,EA
2022-01-30 11:38:00+00:00,2022-01-29 00:00:00+00:00,15.36,2022-01-30 11:50:00+00:00, ,N,2022-01-30 11:48:09+00:00,EA
2022-01-31 11:38:00+00:00,2022-01-30 00:00:00+00:00,10.06,2022-01-31 11:50:00+00:00, ,N,2022-01-31 11:48:13+00:00,EA
2022-02-01 11:38:00+00:00,2022-01-31 00:00:00+00:00,6.11,2022-02-01 11:50:00+00:00, ,N,2022-02-01 11:48:09+00:00,EA
2022-02-02 11:38:00+00:00,2022-02-01 00:00:00+00:00,16.12,2022-02-02 11:50:00+00:00, ,N,2022-02-02 11:48:10+00:00,EA
2022-02-03 11:38:00+00:00,2022-02-02 00:00:00+00:00,7.52,2022-02-03 11:50:00+00:00, ,N,2022-02-03 11:48:10+00:00,EA
2022-02-04 11:38:00+00:00,2022-02-03 00:00:00+00:00,12.71,2022-02-04 11:50:00+00:00, ,N,2022-02-04 11:48:09+00:00,EA
2022-02-05 11:38:00+00:00,2022-02-04 00:00:00+00:00,13.32,2022-02-05 11:50:00+00:00, ,N,2022-02-05 11:48:09+00:00,EA
2022-02-06 11:38:00+00:00,2022-02-05 00:00:00+00:00,7.41,2022-02-06 11:50:00+00:00, ,N,2022-02-06 11:48:09+00:00,EA
2022-02-07 11:38:00+00:00,2022-02-06 00:00:00+00:00,3.04,2022-02-07 11:50:00+00:00, ,N,2022-02-07 11:48:10+00:00,EA
2022-02-08 11:38:00+00:00,2022-02-07 00:00:00+00:00,8.17,2022-02-08 11:50:00+00:00, ,N,2022-02-08 11:48:10+00:00,EA
2022-02-09 11:38:00+00:00,2022-02-08 00:00:00+00:00,3.6,2022-02-09 11:50:00+00:00, ,N,2022-02-09 11:48:10+00:00,EA
2022-02-10 11:38:00+00:00,2022-02-09 00:00:00+00:00,15.0,2022-02-10 11:50:00+00:00, ,N,2022-02-10 11:48:12+00:00,EA
2022-02-11 11:38:00+00:00,2022-02-10 00:00:00+00:00,15.61,2022-02-11 11:50:00+00:00, ,N,2022-02-11 11:48:09+00:00,EA
